dalbavancin | Trade names | Dalvance, Xydalba, others
dicloxacillin | ERROR: DATA NOT FOUND | ERROR
gatifloxacin | Trade names | Gatiflo, Tequin, Zymar, others
lomefloxacin | Trade names | Maxaquin
mezlocillin | Trade names | Baypen
moxalactam | ERROR: DATA NOT FOUND | ERROR
mupirocin | Trade names | Bactroban, others
nafcillin | ERROR: DATA NOT FOUND | ERROR
neomycin | Trade names | Neo-rx
netilmicin | Trade names | Netromycin
p/aminosalicylic/acid | ERROR: DATA NOT FOUND | ERROR
sparfloxacin | Trade names | Spacin, Zagam, others
sulfadiazene | ERROR: DATA NOT FOUND | ERROR
sulfisoxazole | ERROR: DATA NOT FOUND | ERROR
teicoplanin | Trade names | Targocid
thiacetazone | Trade names | Conteben
ticarcillin/clavulanate | Trade names | Timentin
trovafloxacin | ERROR: DATA NOT FOUND | ERROR
bacampicillin | ERROR: DATA NOT FOUND | ERROR
cefadroxil | Trade names | Duricef
cefdinir | Trade names | Cefzon, Omnicef, others
cefditoren | Trade names | Zostom-O, Meiact, Spectracef
cefmetazole | ERROR: DATA NOT FOUND | ERROR
cefprozil | Trade names | Cefzil, Cefproz, others
ceftibuten | Trade names | Cedax
cephapirin | ERROR: DATA NOT FOUND | ERROR
cinoxacin | ERROR: DATA NOT FOUND | ERROR
cloxacillin | Trade names | Cloxapen, others
demeclocycline | Trade names | Declomycin
dirithromycin | Trade names | Dynabac
enoxacin | ERROR: DATA NOT FOUND | ERROR
gemifloxacin | Trade names | Factive
grepafloxacin | ERROR: DATA NOT FOUND | ERROR
lefamulin | Trade names | Xenleta
lincomycin | Trade names | Biocine, Lincocin
loracarbef | Trade names | Lorabid
nitazoxanide | Trade names | Alinia, Nizonide, others
nitrofurazone | Trade names | Aldomycin, Amifur, Chemfuran, Coxistat, Furacin, Furan-2, Furacinetten, Furaplast, Furazol W, Furesol Furracoccid, Mammex, Nefco, Nifuzon, Nitrofural, Vabrocid
norfloxacin | Trade names | Noroxin, Chibroxin, Trizolin, others
novobiocin | ERROR: DATA NOT FOUND | ERROR
oritavancin | Trade names | Orbactiv, others
paromomycin | Trade names | Catenulin, Aminosidine, Humatin, others[1]
retampulin | ERROR: DATA NOT FOUND | ERROR
rifapentine | Trade names | Priftin
rifaximin | Trade names | Xifaxan, others[1]
spiramycin | ERROR: DATA NOT FOUND | ERROR
tedizolid | Trade names | Sivextro
telithromycin | Trade names | Ketek, others
