Drug Name|Trade Names|Other Names
nitazoxanide|['alinia', 'nizonide']|[]
nitrofurazone|['aldomycin', 'amifur', 'chemfuran', 'coxistat', 'furacin', 'furan-2', 'furacinetten', 'furaplast', 'furazol w', 'furesol furracoccid', 'mammex', 'nefco', 'nifuzon', 'nitrofural', 'vabrocid']|[]
norfloxacin|['noroxin', 'chibroxin', 'trizolin']|[]
novobiocin|[]|[]
oritavancin|['orbactiv']|['ly333328']
paromomycin|['catenulin', 'aminosidine', 'humatin']|['monomycin', 'aminosidine']
rifapentine|['priftin']|[]
rifaximin|['xifaxan']|[]
spiramycin|[]|[]
tedizolid|['sivextro']|['tr-700', 'torezolid']
telithromycin|['ketek']|[]
phenoxymethylpenicillin|['veetids', 'apocillin']|['penicillin phenoxymethyl', 'penicillin v', 'penicillin vk']
aciclovir|['zovirax']|['acyclovir', 'acycloguanosine']
benzathine_benzylpenicillin|['bicillin l-a', 'permapen']|['benzathine penicillin g', 'penicillin benzathine benzyl', 'benzathine penicillin', 'penicillin g benzathine', 'benzylpenicillin benzathine']
sulfadiazine|[]|[]
pyrimethamine|['daraprim']|[]
